Timestamp,VM_KW(kW)
17-Aug-23 9:35 PM ICT,2.6
17-Aug-23 9:40 PM ICT,2.4
17-Aug-23 9:45 PM ICT,2.4
17-Aug-23 9:50 PM ICT,2.5
17-Aug-23 9:55 PM ICT,2.6
17-Aug-23 10:00 PM ICT,2.6
17-Aug-23 10:05 PM ICT,2.6
17-Aug-23 10:10 PM ICT,2.5
17-Aug-23 10:15 PM ICT,2.5
17-Aug-23 10:20 PM ICT,2.7
17-Aug-23 10:25 PM ICT,2.6
17-Aug-23 10:30 PM ICT,2.6
17-Aug-23 10:35 PM ICT,2.6
17-Aug-23 10:40 PM ICT,2.5
17-Aug-23 10:45 PM ICT,2.6
17-Aug-23 10:50 PM ICT,2.5
17-Aug-23 10:55 PM ICT,2.3
17-Aug-23 11:00 PM ICT,2.3
17-Aug-23 11:05 PM ICT,2.3
17-Aug-23 11:10 PM ICT,2.4
17-Aug-23 11:15 PM ICT,2.4
17-Aug-23 11:20 PM ICT,2.4
17-Aug-23 11:25 PM ICT,2.3
17-Aug-23 11:30 PM ICT,2.4
17-Aug-23 11:35 PM ICT,2.4
17-Aug-23 11:40 PM ICT,2.3
17-Aug-23 11:45 PM ICT,2.3
17-Aug-23 11:50 PM ICT,2.3
17-Aug-23 11:55 PM ICT,2.3
18-Aug-23 12:00 AM ICT,2.3
18-Aug-23 12:05 AM ICT,2.3
18-Aug-23 12:10 AM ICT,2.3
18-Aug-23 12:15 AM ICT,2.4
18-Aug-23 12:20 AM ICT,2.4
18-Aug-23 12:25 AM ICT,2.3
18-Aug-23 12:30 AM ICT,2.3
18-Aug-23 12:35 AM ICT,2.4
18-Aug-23 12:40 AM ICT,2.4
18-Aug-23 12:45 AM ICT,2.3
18-Aug-23 12:50 AM ICT,2.2
18-Aug-23 12:55 AM ICT,2.3
18-Aug-23 1:00 AM ICT,2.3
18-Aug-23 1:05 AM ICT,2.3
18-Aug-23 1:10 AM ICT,2.3
18-Aug-23 1:15 AM ICT,2.3
18-Aug-23 1:20 AM ICT,2.3
18-Aug-23 1:25 AM ICT,2.3
18-Aug-23 1:30 AM ICT,2.3
18-Aug-23 1:35 AM ICT,2.3
18-Aug-23 1:40 AM ICT,2.3
18-Aug-23 1:45 AM ICT,2.4
18-Aug-23 1:50 AM ICT,2.4
18-Aug-23 1:55 AM ICT,2.3
18-Aug-23 2:00 AM ICT,2.3
18-Aug-23 2:05 AM ICT,2.3
18-Aug-23 2:10 AM ICT,2.3
18-Aug-23 2:15 AM ICT,2.3
18-Aug-23 2:20 AM ICT,2.3
18-Aug-23 2:25 AM ICT,2.3
18-Aug-23 2:30 AM ICT,2.3
18-Aug-23 2:35 AM ICT,2.3
18-Aug-23 2:40 AM ICT,2.3
18-Aug-23 2:45 AM ICT,2.3
18-Aug-23 2:50 AM ICT,2.4
18-Aug-23 2:55 AM ICT,2.7
18-Aug-23 3:00 AM ICT,2.7
18-Aug-23 3:05 AM ICT,2.6
